work_year,country,region,experience_level,job_title,salary_in_usd,employee_residence,company_location,company_size,years_of_experience
2023,Spain,Europe,SE,Principal Data Scientist,85847,ES,ES,L,8
2023,United States of America,Americas,MI,ML Engineer,30000,US,US,S,5
2023,United States of America,Americas,MI,ML Engineer,25500,US,US,S,3
2023,Canada,Americas,SE,Data Scientist,175000,CA,CA,M,8
2023,Canada,Americas,SE,Data Scientist,120000,CA,CA,M,8
2023,United States of America,Americas,SE,Applied Scientist,222200,US,US,L,6
2023,United States of America,Americas,SE,Applied Scientist,136000,US,US,L,6
2023,Canada,Americas,SE,Data Scientist,219000,CA,CA,M,6
2023,Canada,Americas,SE,Data Scientist,141000,CA,CA,M,7
2023,United States of America,Americas,SE,Data Scientist,147100,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,90700,US,US,M,8
2023,United States of America,Americas,SE,Data Analyst,130000,US,US,M,8
2023,United States of America,Americas,SE,Data Analyst,100000,US,US,M,7
2023,United States of America,Americas,EN,Applied Scientist,213660,US,US,L,1
2023,United States of America,Americas,EN,Applied Scientist,130760,US,US,L,2
2023,United States of America,Americas,SE,Data Modeler,147100,US,US,M,6
2023,United States of America,Americas,SE,Data Modeler,90700,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,170000,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,150000,US,US,M,6
2023,United States of America,Americas,MI,Data Analyst,150000,US,US,M,3
2023,United States of America,Americas,MI,Data Analyst,110000,US,US,M,4
2023,Germany,Europe,SE,Research Engineer,275000,DE,DE,M,8
2023,Germany,Europe,SE,Research Engineer,174000,DE,DE,M,6
2023,United Kingdom of Great Britain and Northern Ireland,Europe,SE,Analytics Engineer,230000,GB,GB,M,7
2023,United Kingdom of Great Britain and Northern Ireland,Europe,SE,Analytics Engineer,143200,GB,GB,M,7
2023,United States of America,Americas,SE,Business Intelligence Engineer,225000,US,US,M,7
2023,United States of America,Americas,SE,Business Intelligence Engineer,156400,US,US,M,6
2023,United States of America,Americas,SE,Machine Learning Engineer,200000,US,US,M,7
2023,United States of America,Americas,SE,Machine Learning Engineer,130000,US,US,M,8
2023,Canada,Americas,SE,Data Strategist,90000,CA,CA,M,8
2023,Canada,Americas,SE,Data Strategist,72000,CA,CA,M,6
2023,United States of America,Americas,SE,Data Engineer,253200,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,90700,US,US,M,6
2023,United States of America,Americas,SE,Computer Vision Engineer,342810,US,US,M,8
2023,United States of America,Americas,SE,Computer Vision Engineer,184590,US,US,M,8
2023,United States of America,Americas,MI,Data Engineer,162500,US,US,M,3
2023,United States of America,Americas,MI,Data Engineer,130000,US,US,M,3
2023,United States of America,Americas,MI,Data Analyst,105380,US,US,M,5
2023,United States of America,Americas,MI,Data Analyst,64500,US,US,M,4
2023,Nigeria,Africa,EN,Data Quality Analyst,100000,NG,NG,L,1
2023,Nigeria,Africa,EN,Compliance Data Analyst,30000,NG,NG,L,1
2022,India,Asia,MI,Machine Learning Engineer,20984,IN,IN,L,3
2023,United States of America,Americas,EN,Applied Scientist,204620,US,US,L,1
2023,United States of America,Americas,EN,Applied Scientist,110680,US,US,L,1
2023,United States of America,Americas,SE,Data Engineer,270703,US,US,M,7
2023,United States of America,Americas,SE,Data Engineer,221484,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,212750,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,185000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,262000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,245000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,275300,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,183500,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,218500,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,199098,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,203300,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,123600,US,US,M,7
2023,United States of America,Americas,SE,Research Engineer,189110,US,US,M,7
2023,United States of America,Americas,SE,Research Engineer,139000,US,US,M,7
2023,United States of America,Americas,EX,Data Scientist,258750,US,US,M,10
2023,United States of America,Americas,EX,Data Scientist,185000,US,US,M,9
2023,United States of America,Americas,SE,Data Engineer,231500,US,US,M,7
2023,United States of America,Americas,SE,Data Engineer,166000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,172500,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,110500,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,238000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,176000,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,237000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,201450,US,US,M,6
2023,United States of America,Americas,SE,Applied Scientist,309400,US,US,L,7
2023,United States of America,Americas,SE,Applied Scientist,159100,US,US,L,8
2023,United States of America,Americas,SE,Data Engineer,115000,US,US,M,7
2023,United States of America,Americas,SE,Data Engineer,81500,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,237000,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,201450,US,US,M,8
2023,United States of America,Americas,SE,Computer Vision Engineer,280000,US,US,M,7
2023,United States of America,Americas,SE,Computer Vision Engineer,210000,US,US,M,7
2023,United States of America,Americas,SE,Data Architect,280100,US,US,M,8
2023,United States of America,Americas,SE,Data Architect,168100,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,193500,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,139000,US,US,M,8
2023,Hong Kong,Asia,MI,Data Scientist,65062,HK,HK,L,5
2023,Portugal,Europe,SE,Machine Learning Engineer,150000,PT,US,M,7
2023,India,Asia,MI,Applied Machine Learning Engineer,69751,IN,DE,S,4
2022,India,Asia,EN,AI Developer,300000,IN,IN,L,1
